@RELATION 05-TRAINING-SUBCOMPONENTS

@ATTRIBUTE parenttype {,A,BUTTON,DIV,LI,UL,discrete}
@ATTRIBUTE childcount NUMERIC
@ATTRIBUTE positionleft NUMERIC
@ATTRIBUTE positiontop NUMERIC
@ATTRIBUTE width NUMERIC
@ATTRIBUTE height NUMERIC
@ATTRIBUTE textnodecount NUMERIC
@ATTRIBUTE avchildwidth NUMERIC
@ATTRIBUTE avchildheight NUMERIC
@ATTRIBUTE sdchildwidth NUMERIC
@ATTRIBUTE sdchildheight NUMERIC
@ATTRIBUTE avchildx NUMERIC
@ATTRIBUTE avchildy NUMERIC
@ATTRIBUTE sdchildx NUMERIC
@ATTRIBUTE sdchildy NUMERIC
@ATTRIBUTE subelement {N,Y}

@DATA
LI,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N
UL,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Y
LI,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N
UL,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Y
LI,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N
DIV,13.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Y
DIV,12.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Y
DIV,10.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Y
UL,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Y
UL,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Y
UL,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Y
UL,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Y
UL,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Y
DIV,21.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Y
DIV,20.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Y
DIV,18.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Y
UL,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Y
UL,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Y
UL,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Y
UL,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Y
UL,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Y
UL,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Y
UL,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Y
UL,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Y
UL,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Y
DIV,13.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Y
DIV,12.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Y
DIV,10.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Y
UL,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Y
UL,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Y
UL,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Y
UL,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Y
UL,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Y
LI,76.0,688.0,193.0,585.0,348.0,28.0,162.79,76.33,62.54,109.55,830.44,305.1,156.53,89.5,N
DIV,75.0,692.0,193.0,577.0,344.0,28.0,153.98,70.64,16.31,103.44,833.38,307.49,156.87,88.92,N
DIV,38.0,693.0,194.0,185.0,342.0,12.0,146.54,45.31,7.69,80.88,712.23,339.46,3.85,95.07,N
DIV,37.0,693.0,194.0,185.0,342.0,12.0,145.0,33.44,0.0,56.04,713.0,345.28,0.0,92.3,N
DIV,36.0,713.0,208.0,145.0,308.0,12.0,145.0,22.0,0.0,0.0,713.0,351.0,0.0,89.75,Y
UL,2.0,713.0,208.0,145.0,22.0,1.0,145.0,22.0,0.0,0.0,713.0,208.0,0.0,0.0,Y
LI,1.0,713.0,208.0,145.0,22.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N
UL,2.0,713.0,234.0,145.0,22.0,1.0,145.0,22.0,0.0,0.0,713.0,234.0,0.0,0.0,Y
LI,1.0,713.0,234.0,145.0,22.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N
UL,2.0,713.0,260.0,145.0,22.0,1.0,145.0,22.0,0.0,0.0,713.0,260.0,0.0,0.0,Y
LI,1.0,713.0,260.0,145.0,22.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N
UL,2.0,713.0,286.0,145.0,22.0,1.0,145.0,22.0,0.0,0.0,713.0,286.0,0.0,0.0,Y
LI,1.0,713.0,286.0,145.0,22.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N
UL,2.0,713.0,312.0,145.0,22.0,1.0,145.0,22.0,0.0,0.0,713.0,312.0,0.0,0.0,Y
LI,1.0,713.0,312.0,145.0,22.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N
UL,2.0,713.0,338.0,145.0,22.0,1.0,145.0,22.0,0.0,0.0,713.0,338.0,0.0,0.0,Y
LI,1.0,713.0,338.0,145.0,22.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N
UL,2.0,713.0,364.0,145.0,22.0,1.0,145.0,22.0,0.0,0.0,713.0,364.0,0.0,0.0,Y
LI,1.0,713.0,364.0,145.0,22.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N
UL,2.0,713.0,390.0,145.0,22.0,1.0,145.0,22.0,0.0,0.0,713.0,390.0,0.0,0.0,Y
LI,1.0,713.0,390.0,145.0,22.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N
UL,2.0,713.0,416.0,145.0,22.0,1.0,145.0,22.0,0.0,0.0,713.0,416.0,0.0,0.0,Y
LI,1.0,713.0,416.0,145.0,22.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N
UL,2.0,713.0,442.0,145.0,22.0,1.0,145.0,22.0,0.0,0.0,713.0,442.0,0.0,0.0,Y
LI,1.0,713.0,442.0,145.0,22.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N
UL,2.0,713.0,468.0,145.0,22.0,1.0,145.0,22.0,0.0,0.0,713.0,468.0,0.0,0.0,Y
LI,1.0,713.0,468.0,145.0,22.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N
UL,2.0,713.0,494.0,145.0,22.0,1.0,145.0,22.0,0.0,0.0,713.0,494.0,0.0,0.0,Y
LI,1.0,713.0,494.0,145.0,22.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N
DIV,17.0,878.0,194.0,205.0,342.0,8.0,168.44,62.0,12.57,72.22,896.78,280.22,6.29,56.79,N
DIV,16.0,879.0,194.0,204.0,222.0,8.0,164.0,42.0,0.0,47.62,899.0,291.0,0.0,50.82,N
DIV,14.0,899.0,228.0,164.0,168.0,7.0,164.0,24.0,0.0,0.0,899.0,300.0,0.0,48.0,Y
UL,1.0,899.0,228.0,164.0,24.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Y
UL,1.0,899.0,252.0,164.0,24.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Y
UL,1.0,899.0,276.0,164.0,24.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Y
UL,1.0,899.0,300.0,164.0,24.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Y
UL,1.0,899.0,324.0,164.0,24.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Y
UL,1.0,899.0,348.0,164.0,24.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Y
UL,1.0,899.0,372.0,164.0,24.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Y
DIV,75.0,692.0,193.0,577.0,344.0,28.0,153.98,70.64,16.31,103.44,833.38,307.49,156.87,88.92,N
DIV,38.0,693.0,194.0,185.0,342.0,12.0,146.54,45.31,7.69,80.88,712.23,339.46,3.85,95.07,N
DIV,37.0,693.0,194.0,185.0,342.0,12.0,145.0,33.44,0.0,56.04,713.0,345.28,0.0,92.3,N
DIV,36.0,713.0,208.0,145.0,308.0,12.0,145.0,22.0,0.0,0.0,713.0,351.0,0.0,89.75,Y
UL,2.0,713.0,208.0,145.0,22.0,1.0,145.0,22.0,0.0,0.0,713.0,208.0,0.0,0.0,Y
LI,1.0,713.0,208.0,145.0,22.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N
UL,2.0,713.0,234.0,145.0,22.0,1.0,145.0,22.0,0.0,0.0,713.0,234.0,0.0,0.0,Y
