@RELATION 05-TRAINING-WIDGET

@ATTRIBUTE positionleft NUMERIC
@ATTRIBUTE positiontop NUMERIC
@ATTRIBUTE width NUMERIC
@ATTRIBUTE height NUMERIC
@ATTRIBUTE childcount NUMERIC
@ATTRIBUTE domheight NUMERIC
@ATTRIBUTE domlevelmoreelements NUMERIC
@ATTRIBUTE domlevelelements NUMERIC
@ATTRIBUTE domwidth NUMERIC
@ATTRIBUTE mousex NUMERIC
@ATTRIBUTE mousey NUMERIC
@ATTRIBUTE numwords NUMERIC
@ATTRIBUTE numwordschild NUMERIC
@ATTRIBUTE numlinks NUMERIC
@ATTRIBUTE widget {Other,Dropdown}

@DATA
76.0,193.0,380.0,374.0,55.0,7.0,4.0,13.0,20.0,247.0,181.0,48.0,2.4,16.0,Dropdown
81.0,194.0,185.0,368.0,41.0,5.0,2.0,13.0,13.0,247.0,181.0,26.0,2.0,13.0,Dropdown
266.0,194.0,185.0,368.0,11.0,4.0,2.0,4.0,7.0,247.0,181.0,22.0,3.14,3.0,Other
249.0,153.0,85.0,41.0,51.0,8.0,5.0,15.0,16.0,152.0,178.0,25.0,1.56,16.0,Dropdown
250.0,150.0,83.0,44.0,0.0,0.0,1.0,1.0,0.0,152.0,178.0,1.0,1.0,0.0,Other
245.0,193.0,195.0,426.0,49.0,7.0,4.0,15.0,15.0,152.0,178.0,24.0,1.6,15.0,Dropdown
250.0,194.0,185.0,420.0,47.0,5.0,2.0,15.0,15.0,152.0,178.0,24.0,1.6,15.0,Dropdown
334.0,153.0,78.0,41.0,27.0,8.0,5.0,7.0,8.0,251.0,175.0,14.0,1.75,8.0,Dropdown
335.0,150.0,76.0,44.0,0.0,0.0,1.0,1.0,0.0,251.0,175.0,1.0,1.0,0.0,Other
330.0,193.0,195.0,218.0,25.0,7.0,4.0,7.0,7.0,251.0,175.0,13.0,1.86,7.0,Dropdown
335.0,194.0,185.0,212.0,23.0,5.0,2.0,7.0,7.0,251.0,175.0,13.0,1.86,7.0,Dropdown
806.0,614.0,15.0,15.0,0.0,0.0,1.0,1.0,0.0,429.0,175.0,0.0,0.0,0.0,Other
740.0,219.0,300.0,300.0,12.0,5.0,1.0,3.0,7.0,429.0,175.0,28.0,7.0,1.0,Other
740.0,219.0,300.0,300.0,0.0,0.0,1.0,1.0,0.0,429.0,175.0,0.0,0.0,0.0,Other
573.0,153.0,85.0,41.0,131.0,8.0,5.0,43.0,46.0,572.0,175.0,82.0,1.78,45.0,Dropdown
574.0,150.0,83.0,44.0,0.0,0.0,1.0,1.0,0.0,588.0,174.0,1.0,1.0,0.0,Other
569.0,193.0,545.0,396.0,129.0,7.0,4.0,43.0,45.0,588.0,174.0,81.0,1.8,44.0,Dropdown
574.0,194.0,185.0,390.0,29.0,5.0,2.0,9.0,9.0,588.0,174.0,16.0,1.78,9.0,Dropdown
759.0,194.0,185.0,390.0,27.0,4.0,2.0,12.0,13.0,588.0,174.0,40.0,3.08,13.0,Dropdown
944.0,194.0,165.0,390.0,69.0,5.0,2.0,22.0,23.0,588.0,174.0,25.0,1.09,22.0,Other
713.0,153.0,83.0,41.0,45.0,8.0,5.0,13.0,14.0,712.0,175.0,24.0,1.71,14.0,Dropdown
714.0,150.0,81.0,44.0,0.0,0.0,1.0,1.0,0.0,712.0,175.0,1.0,1.0,0.0,Other
709.0,193.0,195.0,374.0,43.0,7.0,4.0,13.0,13.0,712.0,175.0,23.0,1.77,13.0,Dropdown
714.0,194.0,185.0,368.0,41.0,5.0,2.0,13.0,13.0,712.0,175.0,23.0,1.77,13.0,Dropdown
927.0,150.0,89.0,44.0,0.0,0.0,1.0,1.0,0.0,799.0,176.0,1.0,1.0,0.0,Other
499.0,193.0,775.0,276.0,75.0,7.0,4.0,26.0,29.0,799.0,176.0,65.0,2.24,29.0,Dropdown
504.0,194.0,185.0,270.0,23.0,5.0,2.0,7.0,7.0,799.0,176.0,11.0,1.57,7.0,Dropdown
689.0,194.0,207.0,270.0,13.0,4.0,2.0,5.0,6.0,799.0,176.0,16.0,2.67,6.0,Dropdown
896.0,194.0,187.0,270.0,21.0,4.0,2.0,9.0,10.0,799.0,176.0,24.0,2.4,10.0,Dropdown
1083.0,194.0,185.0,270.0,13.0,4.0,2.0,5.0,6.0,799.0,176.0,14.0,2.33,6.0,Dropdown
828.0,614.0,15.0,15.0,0.0,0.0,1.0,1.0,0.0,928.0,167.0,0.0,0.0,0.0,Other
740.0,219.0,300.0,300.0,13.0,5.0,1.0,3.0,8.0,928.0,167.0,25.0,5.0,1.0,Other
740.0,219.0,300.0,300.0,0.0,0.0,1.0,1.0,0.0,928.0,167.0,0.0,0.0,0.0,Other
1017.0,153.0,81.0,41.0,30.0,8.0,5.0,8.0,9.0,928.0,167.0,13.0,1.44,9.0,Dropdown
1018.0,150.0,79.0,44.0,0.0,0.0,1.0,1.0,0.0,928.0,167.0,1.0,1.0,0.0,Other
1013.0,193.0,195.0,244.0,28.0,7.0,4.0,8.0,8.0,928.0,167.0,12.0,1.5,8.0,Dropdown
1018.0,194.0,185.0,238.0,26.0,5.0,2.0,8.0,8.0,928.0,167.0,12.0,1.5,8.0,Dropdown
1099.0,150.0,100.0,44.0,0.0,0.0,1.0,1.0,0.0,1026.0,171.0,1.0,1.0,0.0,Other
1079.0,193.0,195.0,374.0,43.0,7.0,4.0,13.0,13.0,1026.0,171.0,23.0,1.77,13.0,Dropdown
1084.0,194.0,185.0,368.0,41.0,5.0,2.0,13.0,13.0,1026.0,171.0,23.0,1.77,13.0,Dropdown
1200.0,153.0,70.0,41.0,46.0,8.0,5.0,14.0,16.0,1200.0,180.0,35.0,2.19,16.0,Dropdown
1201.0,150.0,68.0,44.0,0.0,0.0,1.0,1.0,0.0,1204.0,180.0,1.0,1.0,0.0,Other
889.0,193.0,385.0,244.0,44.0,7.0,4.0,14.0,15.0,1204.0,180.0,34.0,2.27,15.0,Dropdown
894.0,194.0,185.0,238.0,26.0,5.0,2.0,8.0,8.0,1204.0,180.0,11.0,1.38,8.0,Dropdown
1079.0,194.0,190.0,238.0,15.0,4.0,2.0,6.0,7.0,1204.0,180.0,23.0,3.29,7.0,Dropdown
51.0,209.0,13.0,30.0,2.0,2.0,1.0,1.0,1.0,1351.0,112.0,1.0,1.0,0.0,Other
995.0,1059.0,275.0,183.0,0.0,0.0,1.0,1.0,0.0,1351.0,112.0,0.0,0.0,0.0,Other
